Representation,Role,Language Accuracy,Language Macro-F1,Speaker Accuracy,Speaker Macro-F1,Speaker Chance,Normalized Speaker Leakage
Wav2Vec2 avg. layers 17–24,Acoustic SSL baseline,0.84,0.8384,0.97,0.9613,0.02,0.9694
Phone unigram,Hard phonetic bottleneck,0.42,0.4183,0.04,0.019,0.02,0.0204
Phone 1–3 gram,Hard phonotactic bottleneck,0.3933,0.3937,0.02,0.017,0.02,0.0
PPG soft phonetic bottleneck,Soft phonetic bottleneck,0.9667,0.9662,0.32,0.2944,0.02,0.3061
Wav2Vec2 layer 13,Best language layer diagnostic,0.9667,0.9664,0.99,0.9893,0.02,0.9898
